Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Apr,7-Apr,11 PM,37.3,38.8,2.7
Apr,8-Apr,12 AM,37.4,38.7,2.6
Apr,8-Apr,1 AM,37.4,38.9,2.8
Apr,8-Apr,2 AM,37.4,39.2,2.6
Apr,8-Apr,3 AM,37.4,38.9,2.6
Apr,8-Apr,4 AM,37.4,38.6,2.7
Apr,8-Apr,5 AM,37.4,38.3,2.7
Apr,8-Apr,6 AM,37.3,38.0,2.6
Apr,8-Apr,7 AM,37.3,37.7,2.5
Apr,8-Apr,8 AM,36.3,37.6,2.5
Apr,8-Apr,9 AM,30.2,42.2,2.8
Apr,8-Apr,10 AM,29.4,45.3,2.7
Apr,8-Apr,11 AM,29.1,46.6,2.7
Apr,8-Apr,12 PM,29.4,44.5,2.8
Apr,8-Apr,1 PM,29.1,47.3,2.6
Apr,8-Apr,2 PM,28.9,47.4,2.8
Apr,8-Apr,3 PM,29.0,47.7,2.8
Apr,8-Apr,4 PM,28.7,48.6,3.0
Apr,8-Apr,5 PM,33.2,41.8,2.8
Apr,8-Apr,6 PM,35.3,39.6,2.9
Apr,8-Apr,7 PM,35.9,39.3,2.8
Apr,8-Apr,8 PM,36.3,39.1,2.8
Apr,8-Apr,9 PM,36.5,39.0,2.7
Apr,8-Apr,10 PM,36.7,38.9,2.7
Apr,8-Apr,11 PM,36.8,39.1,2.8
Apr,9-Apr,12 AM,36.9,39.2,2.6
Apr,9-Apr,1 AM,37.0,39.4,2.7
Apr,9-Apr,2 AM,37.0,39.5,2.8
Apr,9-Apr,3 AM,37.0,39.6,2.8
Apr,9-Apr,4 AM,36.9,39.7,2.8
Apr,9-Apr,5 AM,36.9,39.7,2.7
Apr,9-Apr,6 AM,36.9,39.7,2.7
Apr,9-Apr,7 AM,36.8,39.8,2.5
Apr,9-Apr,8 AM,36.8,40.1,2.5
Apr,9-Apr,9 AM,30.6,43.2,2.7
Apr,9-Apr,10 AM,29.5,47.8,2.7
Apr,9-Apr,11 AM,29.1,49.1,2.9
Apr,9-Apr,12 PM,29.0,49.4,2.9
Apr,9-Apr,1 PM,29.1,48.9,2.8
Apr,9-Apr,2 PM,29.3,47.7,5.5
Apr,9-Apr,3 PM,29.0,48.9,4.2
Apr,9-Apr,4 PM,29.1,47.9,4.3
Apr,9-Apr,5 PM,29.1,49.1,4.0
Apr,9-Apr,6 PM,30.9,47.1,5.3
Apr,9-Apr,7 PM,33.9,43.0,4.8
Apr,9-Apr,8 PM,34.7,42.7,5.3
Apr,9-Apr,9 PM,35.2,42.8,5.4
Apr,9-Apr,10 PM,35.4,43.2,6.1
Apr,9-Apr,11 PM,35.6,43.5,5.6
Apr,10-Apr,12 AM,35.8,43.7,5.6
Apr,10-Apr,1 AM,36.0,43.6,6.0
Apr,10-Apr,2 AM,36.0,43.8,4.9
Apr,10-Apr,3 AM,36.1,43.9,5.8
Apr,10-Apr,4 AM,36.1,43.9,5.5
Apr,10-Apr,5 AM,36.1,43.9,5.2
Apr,10-Apr,6 AM,36.1,44.0,5.1
Apr,10-Apr,7 AM,35.9,44.4,5.2
Apr,10-Apr,8 AM,35.8,44.9,5.4
Apr,10-Apr,9 AM,35.9,44.8,5.1
Apr,10-Apr,10 AM,35.8,45.0,5.5
Apr,10-Apr,11 AM,28.1,50.5,5.8
Apr,10-Apr,12 PM,30.8,46.4,5.9
Apr,10-Apr,1 PM,34.6,42.2,5.3
Apr,10-Apr,2 PM,35.6,42.3,6.2
Apr,10-Apr,3 PM,36.2,42.8,6.3
Apr,10-Apr,4 PM,36.5,43.3,5.7
Apr,10-Apr,5 PM,36.7,43.7,5.9
Apr,10-Apr,6 PM,36.8,44.2,6.6
Apr,10-Apr,7 PM,36.9,44.6,5.9
Apr,10-Apr,8 PM,37.1,44.9,6.3
Apr,10-Apr,9 PM,35.6,47.1,7.0
Apr,10-Apr,10 PM,27.4,55.1,4.6
Apr,10-Apr,11 PM,28.0,54.8,5.1
Apr,11-Apr,12 AM,28.1,54.8,5.2
Apr,11-Apr,1 AM,28.0,56.0,5.6
Apr,11-Apr,2 AM,27.9,57.0,5.4
Apr,11-Apr,3 AM,28.2,56.2,6.6
Apr,11-Apr,6 AM,30.3,52.0,3.1
Apr,11-Apr,7 AM,32.6,48.5,2.9
Apr,11-Apr,8 AM,32.9,48.2,2.9
Apr,11-Apr,9 AM,28.0,51.4,2.9
Apr,11-Apr,10 AM,27.5,55.8,2.8
Apr,11-Apr,11 AM,27.5,56.3,2.9
Apr,11-Apr,12 PM,27.5,56.5,2.8
Apr,11-Apr,1 PM,27.5,56.7,2.8
Apr,11-Apr,2 PM,27.2,58.6,3.1
Apr,11-Apr,3 PM,27.3,58.6,2.9
Apr,11-Apr,4 PM,30.5,52.1,2.7
Apr,11-Apr,5 PM,32.6,57.3,3.5
Apr,11-Apr,7 PM,35.4,58.7,2.5
Apr,11-Apr,8 PM,35.2,59.0,2.4
Apr,11-Apr,9 PM,35.2,59.1,2.5
Apr,11-Apr,10 PM,35.3,59.2,2.4
Apr,17-Apr,5 PM,32.2,65.6,2.7
Apr,17-Apr,6 PM,32.0,66.9,2.4
Apr,17-Apr,7 PM,32.8,65.6,2.5
Apr,17-Apr,8 PM,33.6,64.2,2.4
Apr,17-Apr,9 PM,33.0,65.9,2.4
Apr,17-Apr,10 PM,33.2,65.8,2.4
Apr,17-Apr,11 PM,32.0,68.7,2.5
Apr,18-Apr,12 AM,32.5,67.1,2.5
Apr,18-Apr,1 AM,32.4,67.5,2.6
Apr,18-Apr,2 AM,32.4,67.0,2.4
Apr,18-Apr,3 AM,32.4,66.9,2.4
Apr,18-Apr,4 AM,32.3,66.9,2.5
Apr,18-Apr,5 AM,32.3,67.4,2.5
Apr,18-Apr,6 AM,33.3,65.1,2.4
Apr,18-Apr,7 AM,33.6,65.3,2.5
Apr,18-Apr,8 AM,33.6,65.0,2.6
Apr,25-Apr,4 PM,32.3,39.3,2.4
Apr,25-Apr,5 PM,35.2,40.8,2.3
Apr,25-Apr,6 PM,36.2,42.7,2.2
Apr,25-Apr,7 PM,36.6,43.8,2.2
Apr,25-Apr,8 PM,37.1,44.3,2.2
Apr,25-Apr,9 PM,37.3,45.2,2.2
Apr,25-Apr,10 PM,37.4,46.1,2.2
Apr,25-Apr,11 PM,37.6,47.1,2.2
Apr,26-Apr,12 AM,37.7,48.3,2.2
Apr,26-Apr,1 AM,37.8,48.7,2.2
Apr,26-Apr,2 AM,37.9,48.9,2.2
Apr,26-Apr,3 AM,37.9,49.4,2.2
Apr,26-Apr,4 AM,37.9,50.0,2.2
Apr,26-Apr,5 AM,38.0,50.4,2.2
Apr,26-Apr,6 AM,38.0,50.8,2.2
Apr,26-Apr,7 AM,38.0,51.0,2.2
Apr,26-Apr,8 AM,31.7,50.6,2.3
Apr,26-Apr,9 AM,26.3,47.6,2.4
May,4-May,10 AM,28.6,51.5,3.1
May,4-May,11 AM,29.8,48.7,2.4
May,4-May,12 PM,29.9,50.3,2.4
May,4-May,1 PM,29.8,51.0,2.4
May,4-May,2 PM,29.8,51.4,2.4
May,4-May,3 PM,29.8,52.1,2.4
May,4-May,4 PM,29.7,52.8,2.4
May,4-May,9 PM,28.0,60.9,3.0
May,5-May,12 AM,32.3,57.5,2.7
May,5-May,1 AM,32.3,58.1,2.3
May,5-May,2 AM,31.8,61.9,6.3
May,5-May,3 AM,34.0,56.4,2.3
May,5-May,4 AM,34.2,55.8,2.3
May,5-May,5 AM,34.3,55.9,2.3
